"label","Hemi","Region","PGS","Estimate","Std_Error","t_value","P_Value","Significant_P_Value","Phenotype","Timepoint"
"rh_lateraloccipital","right","lateral occipital","MDD",0.00787481505384549,0.0052640129838788,1.49597181427218,0.134670940732556,"not sig","CT","T0"
"rh_lateraloccipital","right","lateral occipital","SCZ",0.0129196904151432,0.00529814044519663,2.43853301904376,0.0147524544466121,"not sig","CT","T0"
"rh_lateraloccipital","right","lateral occipital","SUD",0.000158668025478772,0.00528935796582349,0.0299975964009215,0.976069158667004,"not sig","CT","T0"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","ADHD",0.00407748599012735,0.00518433269679979,0.786501605625025,0.431579549430264,"not sig","CT","T0"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","ASD",0.00679521706711728,0.00516269723303854,1.31621452128385,0.188111554074554,"not sig","CT","T0"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","BIP",-0.00758396967890674,0.00525260735584245,-1.44384858130908,0.148791440817075,"not sig","CT","T0"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","MDD",0.000931274178821727,0.00517923178405465,0.179809326489085,0.857303409066977,"not sig","CT","T0"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","SCZ",-0.00558047511742979,0.00521302260103934,-1.07048742054508,0.284408106578519,"not sig","CT","T0"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","SUD",0.00307627006294771,0.00520395922936434,0.591140308246318,0.554430622654812,"not sig","CT","T0"
"rh_lingual","right","lingual","ADHD",0.00515430742242721,0.00537952307758245,0.958134642809925,0.338002165032408,"not sig","CT","T0"
"rh_lingual","right","lingual","ASD",0.00643442551052467,0.00535712274949013,1.20109727019734,0.229722432613566,"not sig","CT","T0"
"rh_lingual","right","lingual","BIP",0.00113156290506283,0.00545056923425583,0.20760453751347,0.83553909275226,"not sig","CT","T0"
"rh_lingual","right","lingual","MDD",0.0069332180685779,0.00537411732424433,1.29011289673561,0.197020859532909,"not sig","CT","T0"
"rh_lingual","right","lingual","SCZ",0.0146904547368699,0.00540878792866049,2.71603452208342,0.00661047873946417,"not sig","CT","T0"
"rh_lingual","right","lingual","SUD",0.00695691488393298,0.00539980257255102,1.28836467453408,0.197628438878739,"not sig","CT","T0"
"rh_medialorbitofrontal","right","medial orbitofrontal","ADHD",0.0107541409488711,0.00530209897002159,2.02827993398006,0.0425400175642904,"not sig","CT","T0"
"rh_medialorbitofrontal","right","medial orbitofrontal","ASD",0.0128829829818979,0.00527991170156777,2.43999970266027,0.0146927064795284,"not sig","CT","T0"
"rh_medialorbitofrontal","right","medial orbitofrontal","BIP",-0.0048486049250962,0.00537232771713812,-0.902514734838085,0.366790344995619,"not sig","CT","T0"
"rh_medialorbitofrontal","right","medial orbitofrontal","MDD",0.00360286917153092,0.00529713786797355,0.680153936206538,0.496411955493749,"not sig","CT","T0"
"rh_medialorbitofrontal","right","medial orbitofrontal","SCZ",-0.00348566119985833,0.00533179440705656,-0.653750113703765,0.513277546115832,"not sig","CT","T0"
"rh_medialorbitofrontal","right","medial orbitofrontal","SUD",0.00671418112406696,0.00532236020239332,1.26150445831302,0.207136423647613,"not sig","CT","T0"
